x	y	z
30	50	0.9960193684575588
30	52	0.9924521921894094
30	54	0.9845212200870701
30	56	0.9804133369829506
30	58	0.9861831466960408
30	60	0.9911706109964744
30	62	0.9924410178367533
30	64	0.9931437404447496
30	66	0.9958705894795808
30	68	0.997700899821899
30	70	0.9973464765419615
30	72	0.9911289367552722
30	74	0.9507323531457061
30	76	0.8332902690059055
30	78	0.8096360224761018
30	80	0.9189830954796308
30	82	0.9757341322047158
30	84	0.9883449592269058
30	86	0.9894844097397029
30	88	0.98728724923978906
30	90	0.9854348838414164
30	92	0.9856051397849498
30	94	0.9857367312601149
30	96	0.9833050886875864
30	98	0.9760725702787668
30	100	0.9618824695118252
32	0	4.826398263734434e-5
32	2	1.1097922283030244e-4
32	4	2.551671776046499e-4
32	6	5.865790949238968e-4
32	8	0.001347944053122694
32	10	0.003251577834253343
32	12	0.009544199105871403
32	14	0.023105684134251965
32	16	0.047326351945816546
32	18	0.0926834531145614
32	20	0.15147930875513202
32	22	0.30299008271323163
32	24	0.6083147884636487
32	26	0.8685984587779803
32	28	0.9526554827567076
32	30	0.9667887934128225
32	32	0.9663142977678982
32	34	0.9678759646736976
32	36	0.9705627247328386
32	38	0.9724346139497563
32	40	0.9770307753272143
32	42	0.9848212980748206
32	44	0.9914651656141206
32	46	0.9948964611770847
32	48	0.9958339803348457
32	50	0.9945867888489323
32	52	0.9896157919570472
32	54	0.9793679182334617
32	56	0.974812192596174
32	58	0.9828522620610147
32	60	0.9891973813889945
32	62	0.9900914110789172
32	64	0.9892013201318967
32	66	0.9918877387901186
32	68	0.9950540514568612
32	70	0.9950835373690098
32	72	0.9877969964961252
32	74	0.9454390982352707
32	76	0.8143909406323305
32	78	0.745433551768005
32	80	0.8502081870347651
32	82	0.9417045322687942
32	84	0.9708199674794387
32	86	0.9764020282799857
32	88	0.9750058136037977
32	90	0.9735481912445912
32	92	0.974490445996464
32	94	0.9751680363793737
32	96	0.9723954554768591
32	98	0.9640008274001384
32	100	0.9489879870387733
34	0	1.527611646467957e-5
34	2	4.1926150108820717e-5
34	4	1.1506329800944444e-4
34	6	3.1574264558850175e-4
34	8	8.661262361939803e-4
34	10	0.0023847943384578026
34	12	0.0064770387684508
34	14	0.015778596879717107
34	16	0.0371744960086093
34	18	0.07143573497351179
34	20	0.11948486045720129
34	22	0.23854166708993307
34	24	0.5110904443208868
34	26	0.8252871033340624
34	28	0.9415554871299499
34	30	0.9619421993496159
34	32	0.9603798404984543
34	34	0.9575407359912655
34	36	0.9586322714541994
34	38	0.9647628343923556
34	40	0.9755313892281482
34	42	0.9859175545868646
34	44	0.9921394435975904
34	46	0.9947783892088711
34	48	0.995133507430898
34	50	0.9931511457404514
34	52	0.9870184643463807
34	54	0.9762918109426452
34	56	0.9727511420230722
34	58	0.9807950032529241
34	60	0.986513424187765
34	62	0.9859667940968823
34	64	0.9825259295667427
34	66	0.9846227488585196
34	68	0.9894983042542159
34	70	0.9900032939138952
34	72	0.9799592016386479
34	74	0.9306011273738796
34	76	0.7917718086128548
34	78	0.6914782754896825
34	80	0.7635005205960773
34	82	0.875498088828086
34	84	0.9304995166696056
34	86	0.9479690183991403
34	88	0.951630695543167
34	90	0.9528195623341501
34	92	0.9552050529861726
34	94	0.9564924281344612
34	96	0.953566297138116
